Rep Code,Route,Customer Code,Customer Name,SalesX,Sale,Lgsale,GP,GPX,Loggp,GppeX,Gpperc,Month
RAJEN,Collection,GND-01, GININDA CC T/A GND CATERING SERVICES,0,2.718281828459045,1.0,1.0,0,0.0,-,0.0,April
RAJEN,Richards Bay,SAA-04,121 SAI BN COMBINED CLUB,30311,30310.999999999993,10.319265961919356,6988.6300000000065,6988.63,8.852039821740929,0.2305641516281218,0.2305641516281218,April
RAJEN,Local,THR-02,3 ON LUMSDEN (PTY) LTD (EMAKHOSINI ),0,2.718281828459045,1.0,1.0,-,0.0,0,0.0,April
RAJEN,South Coast,SAA-03,ABS KZN COMMERCIALIZATION,191513,191512.9999999999,12.16271097041624,33951.969999999994,33951.97,10.432702157812942,0.17728284763958582,0.17728284763958582,April
RAJEN,Collection,ACE-01,ACE'S KITCHEN,7313,7312.9999999999945,8.89740886527095,1414.8700000000003,1414.87,7.254792933065255,0.19347326678517707,0.19347326678517707,April
SHIR,Collection,KWI-01,ACORNS&OAKTREE- KWIKSPAR BALLITO VILLAGE,-,2.718281828459045,1.0,1.0,-,0.0,-,0.0,April
KAM,Richards Bay,SOB-01,ADRIAAN LOUW - 5O BE LOUW,2589,2589.0000000000005,7.859026979751538,715.1700000000002,715.17,6.572520276670809,0.276234067207416,0.276234067207416,April
SHIR,DBN CBD,ONO-01,AFRICAN HOTEL DEVELOPMENT DURBAN PTY LTD,5254,5254.000000000003,8.566744970245486,957.7200000000001,957.72,6.864555459675918,0.18228397411496003,0.18228397411496,April
LUC,Local,AMS-02,AFRICAN MARINE SOLUTIONS GROUP (PTY) LTD,67531,67530.99999999999,11.120342030692624,15271.840000000006,15271.84,9.633765888661337,0.22614562201063215,0.22614562201063212,April
RAJEN,Umhlanga,ALF-01,AL FIRENZE,-,2.718281828459045,1.0,1.0,-,0.0,-,0.0,April
RAJEN,Balito,AL-04,AL PESCATORE SEAFOOD RESTAURANT,5712,5711.9999999999945,8.65032450401942,817.79,817.79,6.706605579927191,0.1431705182072829,0.1431705182072829,April
RAJEN,DBN CBD,ALA-02,ALAWILL INVESTMENTS T/A TROPICANA HOTEL,0,2.718281828459045,1.0,1.0,0,0.0,-,0.0,April
RAJEN,Collection,LIN-01,ALBATROSS PROVISIONING -LINK SHIP CHANDL,-,2.718281828459045,1.0,1.0,-,0.0,-,0.0,April
RAJEN,Local,ALP-02,ALPHA BRANDS,4807,4807.0,8.47782846789396,892.6599999999996,892.66,6.794205769295225,0.18570002080299564,0.18570002080299566,April
LUC,Umhlanga,AMD-01,AMDALE INVESTMENTS T/A PHOENIX EXPRESS,-,2.718281828459045,1.0,1.0,-,0.0,-,0.0,April
RAJEN,Umhlanga,LUP-09,AMICO CHEF (PTY) LTD -LUPA DURBAN NORTH,-,2.718281828459045,1.0,1.0,-,0.0,-,0.0,April
SHIR,Local,AUT-01,AND GROUP T/A AUTHENTIQ RESTAURANT,30189,30188.999999999975,10.315232898601442,5467.590000000003,5467.59,8.606593213320794,0.18111199443505913,0.18111199443505915,April
SHIR,Local,ANT-01,ANTIQUES CAFE,7504,7503.9999999999945,8.92319149068606,1302.2999999999995,1302.3,7.171887210973657,0.17354744136460554,0.17354744136460556,April
SHIR,South Coast,ARE-01,ARENA PARK SECONDARY SCHOOL,0,2.718281828459045,1.0,1.0,0,0.0,-,0.0,April
SHIR,Collection,ARG-04,ARGENTO TRADING 67 CC -THATCHERS,-,2.718281828459045,1.0,1.0,-,0.0,-,0.0,April
